StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Before Topic,QID31,QID35,QID36,QID38,Content,QID40,QID41,QID42,QID43,QID44,Topic After,Format,Format_1_TEXT,QID45,QID46,QID47,QID1215450896,QID1215450896_2_TEXT,Final Thoughts
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Before taking this course, I ranked my knowledge and understanding of the Illinois CCSO WrapStat system as follows:",Taking this course has improved my ability to manage WrapStat user access within my CCSO.,"This course has enabled me to better add, update, and archive all Care Coordinators within my CCSO.",Taking this course will help me better complete and manage the Youth Roster for my CCSO.,Taking this course has improved my ability to follow up with potential respondents who do not respond to or decline WrapStat access.,The content/course was engaging/held my attention.,The content/course was relevant to my job.,The content/course was easy to understand.,The content/course was appropriately interactive.,The content/course was supported by visuals.,The content/course was user-friendly.,"After taking this course, I now rank my knowledge and understanding of the Illinois CCSO WrapStat system as:",I would take another course in this format. - Selected Choice,I would take another course in this format. - No (Please Explain) - Text,The technology used in this course was easy to access.,The technology used in this course was easy to navigate.,"The technology used in this course, including the audio, was functioning properly.",I encountered technical difficulties during this course. - Selected Choice,I encountered technical difficulties during this course. - Yes (Please Explain) - Text,"Please provide comments below, including what you liked least or most about the course and suggestions for improvement:"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID1215450898""}","{""ImportId"":""QID31""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID1215450902""}","{""ImportId"":""QID1215450894""}","{""ImportId"":""QID1215450894_1_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID1215450896""}","{""ImportId"":""QID1215450896_2_TEXT""}","{""ImportId"":""QID1215450892_TEXT""}"
2024-11-08 16:37:20,2024-11-08 16:38:46,IP Address,45.19.225.249,100,86,True,2024-11-08 16:38:47,R_6PwuFEecQRNc7mh,,,,,38.5889,-89.9904,anonymous,EN,1,,0,0,,Somewhat bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,"Easy to follow along with the training guides provided. "
2024-11-11 12:30:59,2024-11-11 12:32:34,IP Address,45.19.225.249,100,94,True,2024-11-11 12:32:35,R_1OmAueQ0zjKnewh,,,,,38.5889,-89.9904,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither good nor bad,Yes,,Neither agree nor disagree,Somewhat agree,Strongly agree,No,,
2024-11-12 14:59:38,2024-11-12 15:00:08,IP Address,23.25.54.161,100,29,True,2024-11-12 15:00:09,R_1NEzUIir2BqY4Ad,,,,,41.689,-87.7803,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,No (Please Explain),Too long,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,,
2024-11-15 15:04:58,2024-11-15 15:05:49,IP Address,64.83.252.50,100,51,True,2024-11-15 15:05:49,R_5j7pmeceJLxYDW8,,,,,37.819,-88.4494,anonymous,EN,1,,0,0,,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat disagree,No,,
2024-11-18 12:25:38,2024-11-18 12:28:23,IP Address,172.58.167.254,100,164,True,2024-11-18 12:28:24,R_1QJMPFBIG1O4U3k,,,,,41.779,-87.7789,anonymous,EN,1,,0,0,,Neither good nor bad,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,
2024-11-18 16:53:19,2024-11-18 16:54:22,IP Address,75.209.170.105,100,62,True,2024-11-18 16:54:23,R_7aIx5bYX1QuYVO0,,,,,41.9215,-87.6446,anonymous,EN,1,,0,0,,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,Yes,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,,
2024-11-19 12:12:25,2024-11-19 12:13:56,IP Address,216.86.155.61,100,91,True,2024-11-19 12:13:56,R_3aYtqLHTrZSYqcx,,,,,41.7697,-87.6985,anonymous,EN,1,,0,25,,Extremely bad,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,
2024-11-19 14:53:56,2024-11-19 14:54:51,IP Address,38.106.131.18,100,55,True,2024-11-19 14:54:52,R_71EKW8YTLXc9p0N,,,,,42.2578,-89.0261,anonymous,EN,1,,0,0,,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither good nor bad,Yes,,Somewhat agree,Strongly agree,Strongly agree,No,,
