start_date,end_date,status,ip_address,progress_pct,duration_seconds,completed,recorded_date,response_id,latitude,longitude,user_language,recaptcha_score,knowledge_before,improved_user_access,improved_care_coordinator_mgmt,improved_youth_roster,improved_followup,content_engaging,content_relevant,content_understandable,content_interactive,content_visual_support,content_user_friendly,knowledge_after,would_take_another_course,would_take_another_course_reason,tech_easy_access,tech_easy_navigate,tech_functioning_properly,had_technical_difficulties,technical_difficulties_explanation,final_comments,training_month,training_year,training_duration_minutes,improved_user_access_numeric,improved_care_coordinator_mgmt_numeric,improved_youth_roster_numeric,improved_followup_numeric,content_engaging_numeric,content_relevant_numeric,content_understandable_numeric,content_interactive_numeric,content_visual_support_numeric,content_user_friendly_numeric,tech_easy_access_numeric,tech_easy_navigate_numeric,tech_functioning_properly_numeric,knowledge_before_numeric,knowledge_after_numeric,knowledge_improvement,would_recommend,had_tech_issues,provided_comments,avg_content_satisfaction,avg_tech_satisfaction,avg_improvement_rating,region
2024-11-08 16:37:20,2024-11-08 16:38:46,IP Address,45.19.225.249,100,86,True,2024-11-08 16:38:47,R_6PwuFEecQRNc7mh,38.5889,-89.9904,EN,1.0,Somewhat bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,Easy to follow along with the training guides provided. ,2024-11,2024,1.4333333333333333,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5,5.0,2,5,3,1,0,1,5.0,5.0,5.0,Southern Illinois
2024-11-11 12:30:59,2024-11-11 12:32:34,IP Address,45.19.225.249,100,94,True,2024-11-11 12:32:35,R_1OmAueQ0zjKnewh,38.5889,-89.9904,EN,1.0,Neither good nor bad,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither good nor bad,Yes,,Neither agree nor disagree,Somewhat agree,Strongly agree,No,,,2024-11,2024,1.5666666666666667,4,3.0,3,3,4,3.0,3,3,4.0,3,3,4,5.0,3,3,0,1,0,0,3.3333333333333335,4.0,3.25,Southern Illinois
2024-11-12 14:59:38,2024-11-12 15:00:08,IP Address,23.25.54.161,100,29,True,2024-11-12 15:00:09,R_1NEzUIir2BqY4Ad,41.689,-87.7803,EN,1.0,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,No (Please Explain),Too long,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,,,2024-11,2024,0.48333333333333334,3,3.0,3,3,3,2.0,3,3,3.0,3,4,4,3.0,3,3,0,0,0,0,2.8333333333333335,3.6666666666666665,3.0,Central Illinois
2024-11-15 15:04:58,2024-11-15 15:05:49,IP Address,64.83.252.50,100,51,True,2024-11-15 15:05:49,R_5j7pmeceJLxYDW8,37.819,-88.4494,EN,1.0,Neither good nor bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat disagree,No,,,2024-11,2024,0.85,4,4.0,4,4,4,4.0,4,2,5.0,5,4,4,2.0,3,4,1,1,0,0,4.0,3.3333333333333335,4.0,Southern Illinois
2024-11-18 12:25:38,2024-11-18 12:28:23,IP Address,172.58.167.254,100,164,True,2024-11-18 12:28:24,R_1QJMPFBIG1O4U3k,41.779,-87.7789,EN,1.0,Neither good nor bad,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,,2024-11,2024,2.7333333333333334,5,5.0,4,3,2,4.0,4,2,5.0,3,4,4,5.0,3,4,1,1,0,0,3.3333333333333335,4.333333333333333,4.25,Central Illinois
2024-11-18 16:53:19,2024-11-18 16:54:22,IP Address,75.209.170.105,100,62,True,2024-11-18 16:54:23,R_7aIx5bYX1QuYVO0,41.9215,-87.6446,EN,1.0,Neither good nor bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither good nor bad,Yes,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,,,2024-11,2024,1.0333333333333334,3,3.0,3,3,3,3.0,3,3,3.0,3,4,3,3.0,3,3,0,1,0,0,3.0,3.3333333333333335,3.0,Central Illinois
2024-11-19 12:12:25,2024-11-19 12:13:56,IP Address,216.86.155.61,100,91,True,2024-11-19 12:13:56,R_3aYtqLHTrZSYqcx,41.7697,-87.6985,EN,1.0,Extremely bad,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat good,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,No,,,2024-11,2024,1.5166666666666666,5,4.0,4,3,4,3.0,5,3,4.0,3,4,4,4.0,1,4,3,1,0,0,3.6666666666666665,4.0,4.0,Central Illinois
2024-11-19 14:53:56,2024-11-19 14:54:51,IP Address,38.106.131.18,100,55,True,2024-11-19 14:54:52,R_71EKW8YTLXc9p0N,42.2578,-89.0261,EN,1.0,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither good nor bad,Yes,,Somewhat agree,Strongly agree,Strongly agree,No,,,2024-11,2024,0.9166666666666666,4,4.0,4,4,3,4.0,2,3,5.0,4,4,5,5.0,2,3,1,1,0,0,3.5,4.666666666666667,4.0,Northern Illinois
2024-11-19 16:51:23,2024-11-19 16:52:27,IP Address,173.15.116.153,100,63,True,2024-11-19 16:52:27,R_6e87ggpzNHsiGdP,41.6736,-88.0017,EN,1.0,Extremely good,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,,2024-11,2024,1.05,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5,5.0,5,5,0,1,0,0,5.0,5.0,5.0,Central Illinois
2024-11-19 17:06:33,2024-11-19 17:08:11,IP Address,38.106.131.18,100,98,True,2024-11-19 17:08:12,R_7lh3yicBbpY9rr3,42.2578,-89.0261,EN,1.0,Extremely bad,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither good nor bad,Yes,,Strongly agree,Strongly agree,Strongly agree,No,,,2024-11,2024,1.6333333333333333,3,3.0,3,3,3,5.0,4,4,4.0,5,5,5,5.0,1,3,2,1,0,0,4.166666666666667,5.0,3.0,Northern Illinois
2024-11-19 21:34:28,2024-11-19 21:34:59,IP Address,173.24.4.115,100,31,True,2024-11-19 21:34:59,R_78YU7f2q2V3wiKq,41.1964,-90.7374,EN,1.0,Somewhat bad,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely good,Yes,,Somewhat agree,Somewhat agree,Strongly agree,No,,,2024-11,2024,0.5166666666666667,5,4.0,4,4,4,4.0,3,4,5.0,5,4,4,5.0,2,5,3,1,0,0,4.166666666666667,4.333333333333333,4.25,Central Illinois
